"Step","CartPole_env_reward_99_MIDI3_tmux1 - global_step","CartPole_env_reward_99_MIDI3_tmux1 - global_step__MIN","CartPole_env_reward_99_MIDI3_tmux1 - global_step__MAX","CartPole_env_reward_20240422_232316 - global_step","CartPole_env_reward_20240422_232316 - global_step__MIN","CartPole_env_reward_20240422_232316 - global_step__MAX"
"451","2892800","2892800","2892800","2892800","2892800","2892800"
"452","2899200","2899200","2899200","2899200","2899200","2899200"
"453","2905600","2905600","2905600","2905600","2905600","2905600"
"454","2912000","2912000","2912000","2912000","2912000","2912000"
"455","2918400","2918400","2918400","2918400","2918400","2918400"
"456","2924800","2924800","2924800","2924800","2924800","2924800"
"457","2931200","2931200","2931200","2931200","2931200","2931200"
"458","2937600","2937600","2937600","2937600","2937600","2937600"
"459","2944000","2944000","2944000","2944000","2944000","2944000"
"460","2950400","2950400","2950400","2950400","2950400","2950400"
"461","2956800","2956800","2956800","2956800","2956800","2956800"
"462","2963200","2963200","2963200","2963200","2963200","2963200"
"463","2969600","2969600","2969600","2969600","2969600","2969600"
"464","2976000","2976000","2976000","2976000","2976000","2976000"
"465","2982400","2982400","2982400","2982400","2982400","2982400"
"466","2988800","2988800","2988800","2988800","2988800","2988800"
"467","2995200","2995200","2995200","2995200","2995200","2995200"
